INFO     OnlineOrdersAPI:base_client.py:173 Sending GET to https://mobile-api.epicentrk.ua/api/v2/sales/orders/online

DEBUG    urllib3.connectionpool:connectionpool.py:544 https://otlp-gateway-prod-eu-west-2.grafana.net:443 "POST /otlp/v1/traces HTTP/1.1" 200 2
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://mobile-api.epicentrk.ua:443 "GET /api/v2/sales/orders/online?Page=0&Limit=40&Status=All&session_id=LWk29DNvFTFp9rB8rz9AB8g9FK6g2ReO5rT26560 HTTP/1.1" 200 None
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://otlp-gateway-prod-eu-west-2.grafana.net:443 "POST /otlp/v1/traces HTTP/1.1" 200 2
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/33/be/275390_5.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/de/09/122377_2.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/25/d5/9685_1.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/91/7b/168315_11.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/4c/82/3886210_3.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/2d/67/6892903_1.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/4c/82/3886210_3.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/09/cf/264655_5.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/2d/67/6892903_1.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/e5/ce/1041870_3.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/33/be/275390_5.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/de/09/122377_2.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/93/11/6853393_2.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/1a/fb/137979_4.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/4c/82/3886210_3.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/e1/c3/123331_2.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/f4/62/128098_5.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/e1/c4/123332_2.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/b0/c3/7844035_1.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:1049 Starting new HTTPS connection (1): cdn.27.ua:443
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/9e/e3/6921955_2.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/6c/8f/9006223_1.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/de/09/122377_2.jpeg HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 https://cdn.27.ua:443 "HEAD /190/b0/c3/7844035_1.jpeg HTTP/1.1" 200 0
